filename,tree_ids
2021-01-05-Westfriedhof_Feld_X.PDF,-
2021-01-11-Westerhüser_Friedhof_Totbäume_2021.PDF,-
2021-01-12-Neustädter_See_Seeuferpromenade_verschiedene_abgestorbene_Holunder.PDF,-
"2021-01-13-Gutspark_Alt_Benneckenbeck-lfd._Nr._31,_Birke.PDF",-
"2021-01-13-Gutspark_Alt_Benneckenbeck-lfd._Nr._92_1,_Bergahorn.PDF",-
"2021-01-13-Gutspark_Alt_Benneckenbeck-lfd._Nr._92_2,_Bergahorn.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._100,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._101,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._106,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._112,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._113,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._116,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._118,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._119,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._131,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._46,_Wildpflaume.PDF",-
"2021-01-13-Königstraße,_verlängerte_lfd_Nr._64,_Wildpflaume.PDF",-
2021-01-13-Südfriedhof_Totbäume_2021.PDF,-
2021-01-14-Hohenstaufenring__Krim-Linde_10963.PDF,S10963
2021-01-27-Liegenschaftsservic-Unter_der_Georgshöhe-Esche_1.PDF,-
2021-01-27-Liegenschaftsservice-Unter_der_Georgshöhe-Esche_2.PDF,-
"2021-02-16-Stadtpark,_Kleiner_Stadtmarsch_Pappel_G35017_1.PDF",G35017
"2021-02-17-Akazienstraße,_ohne_Nummer,_Eschenahorn_1.PDF",-
"2021-02-17-Berliner_Chaussee,_ohne_Nummer,_Feldahorn_1.PDF",-
2021-02-23-Böckelmannscher_Park-lfd._Nr.369-1-Ahorn.PDF,-
2021-02-23-Böckelmannscher_Park-lfd._Nr.43-Ahorn.PDF,-
2021-02-23-Schafanger-G33874-Buche.PDF,G33874
"2021-03-03-Kritzmannstraße,_12_A,_Ölweide.PDF",-
2021-03-15-77_Totbäume_Westfriedhof.pdf,-
2021-03-18-Ulnerstraße_am_Florapark_Sorbus_G_20657.pdf,G20657
2021-03-18-Ulnerstraße_am_Florapark_Sorbus_G_20658.pdf,G20658
